query,patron,total_postings,tiempo_seg
katy augustus,t1 AND t2,16,0.000165110
tyson fight,t1 AND t2,149,0.000208763
modesto bee,t1 AND t2,23,0.000113496
british airways,t1 AND t2,472,0.000260866
star wars,t1 AND t2,237,0.000374851
er cast,t1 AND t2,201,0.000256745
touch kirby,t1 AND t2,51,0.000125928
business loans,t1 AND t2,330,0.000291597
fare tracker,t1 AND t2,19,0.000201988
obi won,t1 AND t2,497,0.000333293
model girls,t1 AND t2,271,0.000412985
noir chloe,t1 AND t2,8,0.000101693
apollo missions,t1 AND t2,82,0.000145205
rachel mcadams,t1 AND t2,14,0.000114404
free music,t1 AND t2,6819,0.002532250
bentley automobiles,t1 AND t2,19,0.000180685
chlorine generator,t1 AND t2,18,0.000137872
yahoo finance,t1 AND t2,104,0.000269596
tire kingdom,t1 AND t2,343,0.000223150
hot quotes,t1 AND t2,142,0.000129560
jennifer aniston,t1 AND t2,12,0.000112797
yahoo calendar,t1 AND t2,82,0.000133681
gator logo,t1 AND t2,215,0.000132633
bronx schools,t1 AND t2,269,0.000204083
area codes,t1 AND t2,1164,0.000433589
readers wives,t1 AND t2,70,0.000103928
beaumont enterprise,t1 AND t2,46,0.000081996
farm secrets,t1 AND t2,108,0.000098968
kids games,t1 AND t2,346,0.000207087
tom cruise,t1 AND t2,108,0.000141643
loudon tennessee,t1 AND t2,66,0.000123553
tudor city,t1 AND t2,771,0.000412706
wic program,t1 AND t2,248,0.000183130
fast cash,t1 AND t2,126,0.000134938
buddy holly,t1 AND t2,18,0.000123134
dear mountain,t1 AND t2,129,0.000145484
fathers day,t1 AND t2,504,0.000276371
guitar tabs,t1 AND t2,143,0.000159872
herbal abortion,t1 AND t2,20,0.000122505
rachel hunter,t1 AND t2,55,0.000173701
dean christians,t1 AND t2,79,0.000142202
louisiana pageants,t1 AND t2,68,0.000132493
anime image,t1 AND t2,5007,0.001897930
eddie bauer,t1 AND t2,17,0.000131656
ebay germany,t1 AND t2,392,0.000237469
insurance affiliates,t1 AND t2,57,0.000124461
happy birthday,t1 AND t2,105,0.000156449
traversing table,t1 AND t2,5346,0.002801846
window size,t1 AND t2,12086,0.004087388
onion booty,t1 AND t2,5,0.000144297
kitty fox,t1 AND t2,78,0.000150652
liberty capital,t1 AND t2,313,0.000213931
free downloads,t1 AND t2,6047,0.001906731
dr pepper,t1 AND t2,54,0.000217423
baseball trophies,t1 AND t2,130,0.000126906
trace emails,t1 AND t2,31,0.000174399
sheds backyard,t1 AND t2,6,0.000061532
reno weather,t1 AND t2,81,0.000078225
tobacco pipes,t1 AND t2,42,0.000081647
holiday catalog,t1 AND t2,85,0.000078574
2005 calendar,t1 AND t2,1192,0.000463133
soak city,t1 AND t2,760,0.000438898
amazon books,t1 AND t2,344,0.000191022
web md,t1 AND t2,239,0.000146951
sarah gilbert,t1 AND t2,44,0.000071659
head shops,t1 AND t2,6084,0.001885498
mini bathtub,t1 AND t2,20,0.000106931
bumper kit,t1 AND t2,44,0.000081158
national archives,t1 AND t2,589,0.000354247
talent agencies,t1 AND t2,130,0.000258351
shadow waves,t1 AND t2,90,0.000102879
swallowed magnets,t1 AND t2,14,0.000079902
ft fisher,t1 AND t2,404,0.000219169
paris hilton,t1 AND t2,166,0.000124461
glamour magazine,t1 AND t2,244,0.000137173
personal checks,t1 AND t2,409,0.000176425
aol members,t1 AND t2,671,0.000211277
underwater paint,t1 AND t2,49,0.000081019
sandals vacation,t1 AND t2,15,0.000064395
slang pda,t1 AND t2,20,0.000067818
